CHR     Cluster   N_SNPs       Start_BP         End_BP        Span_BP  Top_SNP                      -log10P
1            36       31     10,125,346     10,231,466        106,120  .                             18.891
1            37      160     10,421,397     10,656,867        235,470  .                            233.442
1            38       18     10,710,382     10,732,218         21,836  .                              9.382
1            39      240     10,973,713     12,045,963      1,072,250  .                            231.029
1            40        1     12,096,522     12,096,522              0  .                              7.860
1            41       15     12,153,838     12,364,940        211,102  .                            185.017
1            42       33     12,417,236     12,540,896        123,660  .                            233.442
1            43        2     12,610,323     12,620,332         10,009  .                            185.017
1            44        1     12,968,224     12,968,224              0  .                              7.712
1            45        1     13,168,630     13,168,630              0  .                              8.366
1            46        1     13,772,818     13,772,818              0  .                              9.004
1            47        7     13,919,078     13,960,424         41,346  .                              9.004
1            48        1     14,084,825     14,084,825              0  .                              8.494
1            49        1     14,263,666     14,263,666              0  .                              8.454
1            50        3     14,514,454     14,583,677         69,223  .                              7.872
1            51       67     14,764,354     14,984,845        220,491  .                            215.552
1            52        1     15,129,427     15,129,427              0  .                             12.626
1            53        3     15,771,307     15,771,727            420  .                             11.912
1            54        1     16,015,214     16,015,214              0  .                              8.494
1            55        2     16,125,691     16,154,642         28,951  .                              8.454
1            56      199     16,330,845     16,687,966        357,121  .                            154.170
1            57       30     16,769,226     16,812,231         43,005  .                             11.515
1            58        1     17,600,149     17,600,149              0  .                              7.872
1            59        1     17,684,381     17,684,381              0  .                              8.357
1            60        1     17,903,976     17,903,976              0  .                              8.445
1            61        1     18,344,444     18,344,444              0  .                              8.494
1            62        1     18,449,244     18,449,244              0  .                              9.004
1            63        1     18,856,959     18,856,959              0  .                              8.494
1            64       15     18,969,476     19,035,957         66,481  .                            215.552
1            65        1     19,090,392     19,090,392              0  .                             10.206
1            66       22     19,574,259     19,634,835         60,576  .                            233.442
1            67       43     19,718,825     19,822,064        103,239  .                            215.552
1            68        2     20,178,702     20,178,710              8  .                              7.990
1            69        1     20,340,077     20,340,077              0  .                             21.040
1            70        3     20,606,695     20,609,560          2,865  .                             21.924
1            71        7     21,152,487     21,187,033         34,546  .                             21.924
1            72        2     21,256,898     21,273,013         16,115  .                             18.987
1            73        2     21,444,542     21,451,162          6,620  .                             22.350
1            74        5     21,903,399     21,988,920         85,521  .                             21.924
1            75        2     22,041,409     22,042,115            706  .                             21.040
1            76        1     22,791,831     22,791,831              0  .                             21.192
1            77        2     22,998,351     23,006,015          7,664  .                             21.040
1            78        2     24,293,755     24,320,595         26,840  .                             19.060
1            79        1     24,541,137     24,541,137              0  .                             18.987
1            80        1     24,703,150     24,703,150              0  .                              7.641
1            81       11     24,880,408     24,921,271         40,863  .                             22.896
1            82       15     25,125,537     25,277,142        151,605  .                             22.896
1            83        6     25,507,473     25,517,293          9,820  .                             21.040
1            84        1     25,785,021     25,785,021              0  .                             20.036
1            85        7     25,951,082     26,004,308         53,226  .                             21.924
1            86        3     26,056,577     26,094,866         38,289  .                             21.040
1            87        2     26,233,776     26,233,933            157  .                              8.499
1            88        3     26,296,161     26,302,667          6,506  .                             18.987
1            89        1     26,375,478     26,375,478              0  .                              8.360
1            90        5     26,481,096     26,499,771         18,675  .                              7.926
1            91        7     26,636,211     26,724,772         88,561  .                             22.896
1            92        5     26,829,149     26,899,670         70,521  .                             20.230
1            93        2     27,018,270     27,027,819          9,549  .                             18.122
1            94        3     27,126,930     27,178,264         51,334  .                             20.230
1            95        6     27,436,824     27,451,943         15,119  .                             21.040
1            96        2     27,609,262     27,619,365         10,103  .                             20.293
1            97        1     27,949,462     27,949,462              0  .                             16.038
1            98        4     28,015,474     28,065,094         49,620  .                              8.336
1            99        3     28,312,716     28,312,734             18  .                             16.931
1           100        1     28,896,653     28,896,653              0  .                             16.952
1           101        6     29,193,324     29,271,372         78,048  .                            185.017
1           102        6     29,918,323     29,986,398         68,075  .                            185.017
1           103        4     30,192,394     30,193,972          1,578  .                             86.236
1           104        1     30,288,314     30,288,314              0  .                            140.111
1           105        1     30,388,941     30,388,941              0  .                              8.094
1           106        5     32,302,082     32,315,733         13,651  .                             10.177
1           107        2     35,610,080     35,610,110             30  .                             86.236
1           108        2     35,911,223     35,911,283             60  .                            150.198
1           109        1     37,585,425     37,585,425              0  .                            233.442
1           110        2     39,079,036     39,079,067             31  .                             10.633
1           111        1     39,145,143     39,145,143              0  .                              9.426
1           112        5     39,280,081     39,364,264         84,183  .                            142.824
1           113        2     39,591,398     39,592,929          1,531  .                             16.122
1           114        3     39,684,494     39,684,550             56  .                             11.752
1           115        2     40,188,580     40,212,171         23,591  .                             12.392
1           116        1     40,298,894     40,298,894              0  .                              7.766
1           117        4     41,718,768     41,803,105         84,337  .                             86.236
1           118        5     41,932,577     41,977,699         45,122  .                            190.800
1           119        3     42,315,942     42,353,931         37,989  .                             19.168
1           120        6     42,426,146     42,504,768         78,622  .                            215.552
1           121        4     42,574,372     42,632,638         58,266  .                            182.867
1           122        4     42,717,220     42,758,533         41,313  .                            185.247
1           123        2     42,873,504     42,874,031            527  .                             14.625
1           124        2     44,531,214     44,562,076         30,862  .                            122.081
1           125        1     44,680,827     44,680,827              0  .                             86.236
1           126       21     44,855,385     44,904,121         48,736  .                             14.230
1           127        1     46,017,531     46,017,531              0  .                            131.173
1           128        1     46,976,592     46,976,592              0  .                             84.830
1           129       10     47,877,770     47,989,618        111,848  .                            233.442
1           130        2     48,117,350     48,133,477         16,127  .                            190.800
1           131        1     48,539,212     48,539,212              0  .                             86.236
1           132        3     48,659,231     48,667,914          8,683  .                            154.170
1           133        5     48,771,415     48,819,367         47,952  .                             15.212
1           134        1     48,990,785     48,990,785              0  .                            215.552
1           135       25     49,452,175     49,731,417        279,242  .                            193.029
1           136        1     49,783,928     49,783,928              0  .                             10.912
1           137       18     49,835,114     49,893,622         58,508  .                            215.552
1           138       21     50,003,179     50,080,634         77,455  .                            233.442
1           139       63     50,205,260     50,693,165        487,905  .                            215.552
1           140       63     50,772,747     51,284,476        511,729  .                            233.442
1           141        7     51,374,029     51,462,194         88,165  .                            190.800
1           142       13     51,519,617     51,593,370         73,753  .                            215.552
1           143       12     51,667,172     51,752,151         84,979  .                            193.029
1           144       29     51,810,660     51,889,474         78,814  .                            215.552
1           145       10     51,943,933     52,104,530        160,597  .                            154.170
1           146       10     52,154,911     52,245,225         90,314  .                            182.867
1           147        4     52,298,438     52,317,687         19,249  .                             13.896
1           148        8     52,368,672     52,404,100         35,428  .                             12.181
1           149        4     52,546,615     52,569,604         22,989  .                            140.111
1           150        5     52,757,669     52,868,495        110,826  .                            185.017
1           151        1     52,995,431     52,995,431              0  .                             13.450
1           152        6     53,204,894     53,259,030         54,136  .                            190.800
1           153        2     54,293,200     54,293,207              7  .                            122.081
1           154        1     54,412,608     54,412,608              0  .                            182.867
1           155        4     55,163,343     55,189,442         26,099  .                            190.800
1           156        3     55,252,918     55,260,995          8,077  .                             14.728
1           157        1     55,625,537     55,625,537              0  .                             16.952
1           158        6     55,978,105     56,054,072         75,967  .                            233.442
1           159        1     56,168,923     56,168,923              0  .                              7.351
1           160        1     56,834,339     56,834,339              0  .                            144.686
1           161        1     58,642,345     58,642,345              0  .                              8.736
1           162       67     59,198,492     59,419,315        220,823  .                            233.442
1           163       12     59,502,898     59,526,193         23,295  .                            178.014
1           164        1     59,636,155     59,636,155              0  .                              7.577
1           165       10     59,700,035     59,831,590        131,555  .                            144.686
1           166        3     60,252,685     60,263,941         11,256  .                             15.768
1           167        1     60,358,672     60,358,672              0  .                            142.824
1           168        2     60,443,400     60,443,898            498  .                              7.601
1           169       43     60,579,813     60,721,900        142,087  .                            215.552
1           170        6     60,774,453     60,829,575         55,122  .                             13.199
1           171        5     60,962,713     60,985,231         22,518  .                             12.242
1           172       17     62,477,623     62,528,239         50,616  .                             17.013
1           173       10     62,608,465     62,649,502         41,037  .                            175.932
1           174       10     62,706,733     62,770,717         63,984  .                             17.804
1           175       12     62,901,807     63,157,849        256,042  .                             17.804
1           176       98     63,335,962     63,610,776        274,814  .                             16.647
1           177       45     63,845,412     63,905,778         60,366  .                             14.699
1           178       20     63,982,636     64,099,534        116,898  .                             15.271
1           179        3     64,154,651     64,171,807         17,156  .                             15.509
1           180        5     64,234,667     64,263,388         28,721  .                              9.436
1           181        3     64,399,853     64,444,912         45,059  .                              7.959
1           182        1     64,647,404     64,647,404              0  .                             12.164
1           183        1     64,986,764     64,986,764              0  .                              7.655
1           184        1     65,409,568     65,409,568              0  .                            138.283
1           185        6     65,470,619     65,536,414         65,795  .                              8.536
1           186        8     65,625,959     65,727,916        101,957  .                              8.995
1           187        1     66,566,557     66,566,557              0  .                              8.566
1           188        4     67,098,408     67,123,369         24,961  .                             10.611
1           189       11     67,209,376     67,232,608         23,232  .                            193.029
1           190        4     67,410,982     67,412,396          1,414  .                             13.382
1           191        2     67,463,772     67,464,503            731  .                            215.552
1           192       11     67,797,165     67,903,925        106,760  .                             13.559
1           193        6     70,140,796     70,252,918        112,122  .                            215.552
1           194        3     70,384,720     70,396,171         11,451  .                            101.658
1           195        6     70,472,749     70,526,165         53,416  .                              7.990
1           196        1     70,616,600     70,616,600              0  .                              7.990
1           197       10     70,831,566     70,846,507         14,941  .                            233.442
1           198       23     70,903,464     71,069,965        166,501  .                             19.168
1           199       14     71,147,127     71,232,857         85,730  .                            215.552
1           200       48     71,303,103     71,626,320        323,217  .                            190.800
1           201        1     71,811,813     71,811,813              0  .                              7.655
1           202       14     71,986,840     72,028,613         41,773  .                            190.800
1           203       39     72,084,308     72,326,156        241,848  .                            193.029
1           204        1     72,484,094     72,484,094              0  .                             12.693
1           205        1     72,775,642     72,775,642              0  .                              7.577
1           206        1     72,835,787     72,835,787              0  .                              7.655
1           207        1     74,079,436     74,079,436              0  .                             11.424
1           208       40     74,139,934     74,289,427        149,493  .                            185.247
1           209        7     74,357,438     74,382,251         24,813  .                             14.531
1           210        1     74,732,187     74,732,187              0  .                            233.442
1           211        1     74,841,947     74,841,947              0  .                            182.867
1           212       35     74,904,690     75,048,757        144,067  .                            154.170
1           213        2     75,148,338     75,192,777         44,439  .                              7.577
1           214     6943     75,260,073     84,427,851      9,167,778  .                            233.442
1           215        1     84,767,350     84,767,350              0  .                              7.712
1           216        1     85,309,689     85,309,689              0  .                              8.445
1           217      263     85,363,707     85,878,143        514,436  .                             86.236
1           218     2672     85,952,167     89,877,587      3,925,420  .                            233.442
1           219        2     89,941,844     89,963,692         21,848  .                             13.093
1           220        5     90,028,433     90,049,164         20,731  .                            233.442
1           221        1     90,103,962     90,103,962              0  .                            215.552
1           222        2     90,209,151     90,229,238         20,087  .                              9.246
1           223        2     90,376,565     90,391,558         14,993  .                            165.081
1           224       15     90,456,001     90,572,653        116,652  .                            233.442
1           225        3     90,645,319     90,647,408          2,089  .                             10.073
1           226        4     90,710,959     90,746,818         35,859  .                            215.552
1           227        1     90,836,584     90,836,584              0  .                            154.170
1           228        2     90,898,645     90,935,604         36,959  .                            140.111
1           229        3     90,994,861     91,007,649         12,788  .                            193.029
1           230        2     91,104,690     91,126,283         21,593  .                             14.029
1           231       12     91,197,436     91,321,836        124,400  .                            144.686
1           232        3     91,447,226     91,462,122         14,896  .                             17.013
1           233        2     91,715,061     91,720,958          5,897  .                            185.017
1           234        8     91,830,376     91,973,641        143,265  .                            215.552
1           235        1     92,805,300     92,805,300              0  .                             31.821
1           236        6     92,903,724     92,940,008         36,284  .                            190.800
1           237        7     93,008,957     93,119,375        110,418  .                            215.552
1           238        2     93,232,487     93,257,163         24,676  .                              7.548
1           239        1     93,700,048     93,700,048              0  .                            185.017
1           240        1     94,306,963     94,306,963              0  .                            215.552
1           241        2     94,629,424     94,629,426              2  .                            140.111
1           242        3     95,251,057     95,257,527          6,470  .                            178.014
1           243        1     95,485,667     95,485,667              0  .                            144.686
1           244        2     95,649,100     95,649,101              1  .                             86.236
1           245        5     95,722,823     95,744,220         21,397  .                            233.442
1           246        1     95,927,959     95,927,959              0  .                            140.111
1           247        2     96,180,873     96,180,903             30  .                            140.111
1           248        4     96,270,161     96,384,137        113,976  .                            144.686
1           249        1     96,759,450     96,759,450              0  .                              7.453
1           250        1     97,379,493     97,379,493              0  .                              7.960
1           251        3     97,512,480     97,575,919         63,439  .                              8.248
1           252        1     97,631,846     97,631,846              0  .                            233.442
1           253        9     97,696,786     97,745,511         48,725  .                            215.552
1           254        1     97,807,155     97,807,155              0  .                            233.442
1           255        1     97,954,412     97,954,412              0  .                            154.170
1           256        2     98,086,902     98,086,905              3  .                            233.442
1           257        4     98,490,271     98,509,085         18,814  .                             20.743
1           258        3     98,875,553     98,951,390         75,837  .                            101.658
1           259        1     99,201,055     99,201,055              0  .                            150.198
1           260        2     99,449,764     99,452,747          2,983  .                             13.910
1           261        3     99,561,137     99,591,343         30,206  .                            174.581
1           262        3     99,666,157     99,703,183         37,026  .                             13.857
1           263        5     99,917,593     99,983,706         66,113  .                            215.552
1           264        2    100,122,977    100,124,282          1,305  .                            215.552
1           265        1    100,216,808    100,216,808              0  .                             12.511
1           266        1    100,275,238    100,275,238              0  .                            215.552
1           267        3    100,329,787    100,364,321         34,534  .                            122.081
1           268        1    100,505,412    100,505,412              0  .                             86.236
1           269        4    100,636,667    100,695,163         58,496  .                            190.800
1           270        3    100,890,290    100,912,778         22,488  .                            215.552
1           271        1    101,146,715    101,146,715              0  .                            178.014
1           272        2    101,612,312    101,635,803         23,491  .                            215.552
1           273        2    101,741,994    101,742,490            496  .                            190.800
1           274        1    101,840,169    101,840,169              0  .                             86.236
1           275        2    102,229,728    102,275,531         45,803  .                            144.686
1           276        2    103,663,760    103,687,926         24,166  .                            122.081
1           277       36    103,755,221    103,865,853        110,632  .                            233.442
1           278       10    103,918,515    103,972,645         54,130  .                            215.552
1           279        1    104,568,634    104,568,634              0  .                              7.933
1           280        1    110,289,590    110,289,590              0  .                            185.017
1           281        1    113,309,204    113,309,204              0  .                            190.800
1           282        1    114,487,735    114,487,735              0  .                             17.217
1           283        1    115,215,451    115,215,451              0  .                             14.378
1           284        2    115,867,018    115,867,048             30  .                             12.015
1           285        5    116,700,311    116,705,361          5,050  .                            185.017
1           286        1    116,765,099    116,765,099              0  .                             13.199
1           287        2    116,893,493    116,920,348         26,855  .                             11.107
1           288        1    117,011,921    117,011,921              0  .                            185.017
1           289        2    117,120,352    117,120,403             51  .                            215.552
1           290        1    117,312,887    117,312,887              0  .                            178.014
1           291        3    117,446,211    117,471,230         25,019  .                            233.442
1           292        3    118,693,375    118,730,296         36,921  .                             13.727
1           293        2    119,039,384    119,040,266            882  .                            233.442
1           294       38    119,221,715    119,476,968        255,253  .                            213.243
1           295        1    119,686,211    119,686,211              0  .                             12.006
1           296        3    119,770,637    119,836,287         65,650  .                             15.507
1           297        2    120,080,183    120,080,880            697  .                            142.824
1           298        9    120,880,119    120,893,459         13,340  .                            233.442
1           299        1    120,965,042    120,965,042              0  .                              7.747
1           300       17    121,045,631    121,109,885         64,254  .                            190.800
1           301        3    121,748,102    121,762,021         13,919  .                              7.783
1           302        1    125,598,241    125,598,241              0  .                            142.824
1           303        1    126,899,649    126,899,649              0  .                            182.867
1           304        1    128,839,769    128,839,769              0  .                            190.842
1           305        1    129,095,625    129,095,625              0  .                            152.243
1           306        1    129,257,776    129,257,776              0  .                            185.017
1           307        4    130,028,841    130,096,737         67,896  .                             10.499
1           308        3    130,148,236    130,158,905         10,669  .                            172.523
1           309        4    130,246,407    130,299,553         53,146  .                            188.649
1           310        1    130,531,041    130,531,041              0  .                            142.824
1           311        6    131,674,799    131,726,098         51,299  .                            190.842
1           312       12    131,922,558    131,926,493          3,935  .                            215.552
1           313        1    132,602,534    132,602,534              0  .                             15.507
1           314        4    132,876,216    132,946,139         69,923  .                             15.064
1           315        1    133,067,848    133,067,848              0  .                             15.976
1           316        9    133,665,778    133,685,760         19,982  .                             13.592
1           317        1    133,787,738    133,787,738              0  .                              7.473
1           318        2    134,147,461    134,147,464              3  .                            152.243
1           319        1    134,323,698    134,323,698              0  .                            175.932
1           320      117    134,383,827    135,003,281        619,454  .                            233.442
1           321       36    135,063,243    135,407,579        344,336  .                            233.442
1           322       67    135,483,460    135,625,314        141,854  .                            233.442
1           323        8    135,803,451    135,834,204         30,753  .                             13.577
1           324        3    136,046,064    136,046,992            928  .                            154.170
1           325        4    136,253,063    136,313,699         60,636  .                            185.017
1           326        1    136,449,191    136,449,191              0  .                              7.697
1           327        5    136,503,186    136,505,169          1,983  .                            193.029
1           328        1    136,653,608    136,653,608              0  .                             84.830
1           329        8    136,723,721    136,765,117         41,396  .                             13.068
1           330       19    136,903,311    137,088,057        184,746  .                            233.442
1           331        1    137,146,700    137,146,700              0  .                             13.068
1           332       71    137,205,523    137,658,304        452,781  .                            215.552
1           333       54    137,718,752    138,085,919        367,167  .                            215.552
1           334        2    138,141,436    138,166,997         25,561  .                            178.014
1           335       79    138,239,854    138,738,358        498,504  .                            233.442
1           336       22    138,828,425    139,024,704        196,279  .                            215.552
1           337       14    139,085,597    139,163,858         78,261  .                            215.552
1           338       10    139,224,370    139,345,039        120,669  .                            190.800
1           339        3    139,471,574    139,487,431         15,857  .                            185.247
1           340        1    139,542,926    139,542,926              0  .                             11.667
1           341        5    139,596,309    139,599,586          3,277  .                            144.686
1           342        3    139,655,815    139,668,053         12,238  .                            193.029
1           343       57    139,722,359    139,987,281        264,922  .                            233.442
1           344       56    140,052,443    140,362,878        310,435  .                            233.442
1           345       46    140,423,917    140,899,304        475,387  .                            231.029
1           346        2    140,967,449    140,969,047          1,598  .                              8.094
1           347       50    141,022,129    141,440,920        418,791  .                            233.442
1           348       34    141,497,717    141,851,283        353,566  .                            215.552
1           349        5    141,940,488    141,982,726         42,238  .                            190.800
1           350       11    142,061,334    142,115,847         54,513  .                            144.686
1           351       17    142,223,522    142,346,852        123,330  .                            233.442
1           352      177    142,412,851    143,578,920      1,166,069  .                            233.442
1           353       91    143,647,252    144,141,574        494,322  .                            215.552
1           354      156    144,207,149    144,727,689        520,540  .                            233.442
1           355        9    144,795,252    144,856,778         61,526  .                            185.017
1           356        1    144,943,432    144,943,432              0  .                              7.441
1           357        4    145,109,431    145,145,519         36,088  .                             22.896
1           358       63    145,230,552    145,634,395        403,843  .                            185.017
1           359        1    145,712,654    145,712,654              0  .                             12.988
1           360        4    145,827,482    145,868,384         40,902  .                            185.017
1           361        1    146,103,347    146,103,347              0  .                            185.017
1           362        1    146,167,443    146,167,443              0  .                            190.800
1           363        1    146,222,707    146,222,707              0  .                              7.441
1           364        1    146,291,275    146,291,275              0  .                              7.441
1           365        1    146,410,065    146,410,065              0  .                            185.017
1           366        4    146,804,637    146,814,521          9,884  .                            185.017
1           367        1    146,991,955    146,991,955              0  .                             86.236
1           368        3    147,115,350    147,150,401         35,051  .                             86.236
1           369        1    147,518,596    147,518,596              0  .                             21.040
1           370       14    147,603,187    147,710,831        107,644  .                            193.029
1           371        5    147,784,062    147,816,073         32,011  .                             21.040
1           372        3    147,882,899    147,916,832         33,933  .                            132.940
1           373       65    147,994,377    148,435,651        441,274  .                            190.800
1           374       12    148,557,260    148,588,585         31,325  .                             21.040
1           375       17    148,955,573    149,020,699         65,126  .                             22.896
1           376       25    149,083,092    149,322,680        239,588  .                            185.017
1           377        6    149,402,502    149,455,733         53,231  .                             22.896
1           378      285    149,514,768    150,871,685      1,356,917  .                            231.029
1           379        5    150,965,864    151,015,207         49,343  .                             21.736
1           380       12    151,244,270    151,450,714        206,444  .                            193.029
1           381       21    151,528,245    151,848,002        319,757  .                            144.686
1           382        3    151,928,928    151,939,471         10,543  .                             21.691
1           383        7    151,996,727    152,084,728         88,001  .                            132.940
1           384        3    152,170,431    152,174,072          3,641  .                             20.799
1           385       12    152,234,666    152,444,369        209,703  .                            193.029
1           386      283    152,605,820    153,495,297        889,477  .                            233.442
1           387       47    153,583,799    153,860,190        276,391  .                            185.017
1           388      155    153,976,316    154,678,675        702,359  .                            233.442
1           389       28    154,731,231    154,844,652        113,421  .                            215.552
1           390        2    154,899,171    154,937,707         38,536  .                            154.170
1           391        3    155,010,719    155,030,165         19,446  .                            193.029
1           392       20    155,096,195    155,225,612        129,417  .                            215.552
1           393       14    155,315,275    155,507,549        192,274  .                            178.014
1           394        1    155,593,271    155,593,271              0  .                              7.441
1           395        3    155,685,088    155,712,003         26,915  .                              7.749
1           396        3    155,763,659    155,818,193         54,534  .                             12.832
1           397        1    155,954,698    155,954,698              0  .                             14.172
1           398       34    156,048,863    156,401,967        353,104  .                            144.686
1           399      198    156,480,531    157,212,714        732,183  .                            233.442
1           400        2    157,329,187    157,342,683         13,496  .                            178.014
1           401       83    157,413,986    157,662,617        248,631  .                            233.442
1           402        1    157,849,261    157,849,261              0  .                              7.441
1           403        2    157,976,161    158,020,896         44,735  .                            140.111
1           404        1    158,116,592    158,116,592              0  .                              7.441
1           405        1    158,197,373    158,197,373              0  .                            233.442
1           406        1    158,318,917    158,318,917              0  .                             13.450
1           407       31    158,381,379    158,556,586        175,207  .                            215.552
1           408      165    158,615,610    159,747,643      1,132,033  .                            233.442
1           409       43    159,813,841    160,223,962        410,121  .                            215.552
1           410       10    160,278,246    160,361,390         83,144  .                            215.552
1           411       25    160,450,494    160,646,488        195,994  .                            233.442
1           412       11    160,726,945    160,817,691         90,746  .                            233.442
1           413       51    160,876,147    161,282,987        406,840  .                            215.552
1           414       28    161,526,629    161,869,121        342,492  .                            215.552
1           415       10    161,923,482    161,968,182         44,700  .                            140.111
1           416        2    162,039,326    162,079,278         39,952  .                             11.375
